student_id,deep_link
manas,https://t.me/edutrack_link_bot?start=bind-y710rzkm
zhanarys,https://t.me/edutrack_link_bot?start=bind-gfi8ou79
asylkhan_a,https://t.me/edutrack_link_bot?start=bind-tkxlgxds
zhannur,https://t.me/edutrack_link_bot?start=bind-mfcim6cv
temirlan,https://t.me/edutrack_link_bot?start=bind-ybhf38z2
aidos_sss,https://t.me/edutrack_link_bot?start=bind-r7g6gf4f
yerniyaz,https://t.me/edutrack_link_bot?start=bind-tdmhhvzq
denchik,https://t.me/edutrack_link_bot?start=bind-ovfmcvbb
aleksander,https://t.me/edutrack_link_bot?start=bind-ifd23lmj
fhfgh,https://t.me/edutrack_link_bot?start=bind-mkrhkfwc
